"P10044" "P10112" "H2DFI5" "Q9YI16" "Q90339" "P53479" "Q90333" "Q5NDA0" "B3GPN1" "Q98SI3"
"ZFA_0000368" 0 0 130.452408884556 1.35867698243855 0.593535348312242 0.474687142011726 0 568.982643122817 5446.17807890721 3725.62397015417
"ZFA_0000107" 64102.2965259801 43789.1312119347 4.23678355890719 19.5609215093937 12.068758901224 7.884590009436 9.293589742119 1.74122646263393 0 0
"ZFA_0001161" 56.6765724190154 59.2504558581948 1094.51534134263 15.2575952943101 14.8186623981806 10.7387189846556 8.21875393512537 4.47955664888931 0 0
"ZFA_0001184" 6.84900063513206 1.58957025729658 645.224351556056 17.0195319866901 13.4600707271082 12.6443088648592 7.38984275213782 2.84820609242562 0 0
"ZFA_0001173" 11.5684440979464 10.2657789642281 1175.70994492852 27.3568005029055 16.0977716732967 13.065536863563 12.9539715582764 5.31391288819542 0 0
"ZFA_0001162" 12.3250841315173 7.43730791021843 633.500794890001 33.1796962344041 13.9949342396583 18.4054589697325 16.053012804314 8.39059197303748 0.393686897848828 0
"ZFA_0001058" 8.94441823103275 5.57825678958114 648.567603683196 25.2423216922615 13.9059328105426 11.5629391347346 8.05542453671096 4.2892413380569 0.464503373350074 0
"ZFA_0005277" 4.29363474686232 2.36590724056926 4.44185971866575 37303.1935593816 28798.9408533372 21799.6418298442 18649.4574919149 6526.5437486028 0.104438853616744 0
"ZFA_0000669" 0 0 1.95474064659435 6.91268582160694 2.27790341478132 3.85172759226659 4.01982955549644 0.964027383729978 3.07578972885173 0
"ZFA_0001606" 3.72068507575322 2.80645959999672 2805.16480894712 25.0406405506165 7.92145854837783 7.44137015150645 7.45549039847325 9.49854073946556 0 0
"ZFA_0001607" 0 1.05032594765133 1975.44868112762 583.659203099179 230.252905997221 222.239422105316 179.970461238929 375.142015091168 4.33664524665478 0
"ZFA_0001293" 0 0 7.69187225165427 25.1405999489055 21.729727084341 6.43002378723 24.1583436408262 224.157338267647 3.66763088719367 1.51944708183738
"ZFA_0000598" 0 0 4.76280665604516 1.40358714166933 0 2.08553200545008 3.91779257190812 7.04667810715214 0 0
"ZFA_0000123" 0 0 0 2.41210525151314 0 0 0 40.3664030145145 11.8058908272033 11.1159361684706
"ZFA_0000436" 0.787791545264838 0.72026655567071 146.881938290538 1.9183226649931 0.27106805858575 0.572939305647155 0.07175330962564 704.070039533046 6700.81230045279 4475.73421255896
"ZFA_0009265" 0 0 5.68240172573177 1.11639299710162 0 4.97640635980752 0 3.73655085036742 37.7520482468156 16.4632992354534
"ZFA_0009049" 0 0 5.68240172573177 1.11639299710162 0 4.97640635980752 0 3.73655085036742 37.7520482468156 16.4632992354534
"ZFA_0009250" 0 0 5.68240172573177 1.11639299710162 0 4.97640635980752 0 3.73655085036742 37.7520482468156 16.4632992354534
"ZFA_0000208" 0 1.92227963911314 2.32802032418547 5.48849387102325 1.80859643464946 1.52908607656727 3.82996892043416 238.808801582657 7.93681702174664 3.79397297193383
"ZFA_0001076" 0 0 17.7536678234424 1.04639225036877 0 2.33218636407948 2.9207647064373 264.420583667987 73.5633375820351 54.0085263260511
"ZFA_0001323" 0 0 17.7536678234424 1.04639225036877 0 2.33218636407948 2.9207647064373 264.420583667987 73.5633375820351 54.0085263260511
"ZFA_0000706" 0 0 17.7536678234424 1.04639225036877 0 2.33218636407948 2.9207647064373 264.420583667987 73.5633375820351 54.0085263260511
"ZFA_0000402" 0 0 803.065710178196 1.38804366476113 3.65916170405668 0 3.87440651017766 0 4.94086444250121 2.55866194343813
"ZFA_0000445" 0 0 131.53662096069 3.10108090748928 0 0 4.32797914128722 10.3792719338265 2.75964308222427 2.85820176373228
"ZFA_0000188" 0 0 335.208932341918 2.63427277897524 0 1.46780880980022 3.67648506439523 0 0 0
"ZFA_0000297" 0 0 724.100512825153 1.0999515453745 0 12.2577933579234 3.07026323196565 0.920380388649542 0.48942187635992 0
"ZFA_0000636" 0 0 307.866403292469 1.34760559843102 3.71412727810546 7.44051817467377 4.74468423261433 4.40785038076594 0 0
"ZFA_0000545" 0 0 517.52315350183 1.40889396409439 3.71412727810546 6.28025157934197 5.89890802993221 2.35777363046968 0 0
"ZFA_0000118" 0 0 39.5213962226209 1.62514270588015 2.85613491081206 3.6220983641662 1.51207142337109 16.3179858044348 0 0
"ZFA_0000212" 0 0 98.2096530831084 1.28631723276766 0 8.60078477000556 3.59046043529644 6.45792713106219 0 0
"ZFA_0000471" 0 1.51366554280784 1.83315896187801 927.570334415744 0 4.81620854529768 0 3113.60485546173 0.961493538988648 0
"ZFA_0000009" 0 0 0 2374.31473834087 3.79190441148946 4.27451042749721 0 6301.10979963296 0 0
"ZFA_0000173" 0 0 0 3.12017054347971 21.3860291408468 2.78167931482343 0 2.08863293263193 1.11065235800572 0
